tin_tare_set,tin_number,tin_tare
2021-03-04,1,1.093
2021-03-04,2,1.111
2021-03-04,3,1.101
2021-03-04,4,1.098
2021-03-04,5,1.101
2021-03-04,6,1.092
2021-03-04,7,1.102
2021-03-04,8,1.114
2021-03-04,9,1.08
2021-03-04,10,1.083
2021-03-04,11,1.116
2021-03-04,12,1.11
2021-03-04,13,1.115
2021-03-04,14,1.098
2021-03-04,15,1.08
2021-03-04,16,1.099
2021-03-04,17,1.098
2021-03-04,18,1.086
2021-03-04,19,1.104
2021-03-04,20,1.107
2021-03-04,21,1.108
2021-03-04,22,1.091
2021-03-04,23,1.102
2021-03-04,24,1.104
2021-03-04,25,1.102
2021-03-04,26,1.081
2021-03-04,27,1.094
2021-03-04,28,1.104
2021-03-04,29,1.097
2021-03-04,30,1.085
2021-03-04,31,1.091
2021-03-04,32,1.091
2021-03-04,33,1.108
2021-03-04,34,1.096
2021-03-04,35,1.116
2021-03-04,36,1.105
2021-03-04,37,1.105
2021-03-04,38,1.105
2021-03-04,39,1.103
2021-03-04,40,1.098
2021-03-04,41,1.098
2021-03-04,42,1.101
2021-03-04,43,1.094
2021-03-04,44,1.096
2021-03-04,45,1.105
2021-03-04,46,1.1
2021-03-04,47,1.111
2021-03-04,48,1.106
2021-03-04,49,1.098
2021-03-04,50,1.097
2021-03-04,51,1.092
2021-03-04,52,1.101
2021-03-04,53,1.103
2021-03-04,54,1.088
2021-03-04,55,1.088
2021-03-04,56,1.1
2021-03-04,57,1.097
2021-03-04,58,1.105
2021-03-04,59,1.099
2021-03-04,60,1.096
2021-03-04,61,1.09
2021-03-04,62,1.106
2021-03-04,63,1.099
2021-03-04,64,1.098
2021-03-04,65,1.095
2021-03-04,66,1.099
2021-03-04,67,1.108
2021-03-04,68,1.098
2021-03-04,69,1.101
2021-03-04,70,1.11
2021-03-04,71,1.095
2021-03-04,72,1.106
2021-03-04,73,1.098
2021-03-04,74,1.097
2021-03-04,75,1.115
2021-03-04,76,1.101
2021-03-04,77,1.09
2021-03-04,78,1.099
2021-03-04,79,1.086
2021-03-04,80,1.088
2021-03-04,81,1.096
2021-03-04,82,1.093
2021-03-04,83,1.108
2021-03-04,84,1.093
2021-03-04,85,1.091
2021-03-04,86,1.098
2021-03-04,87,1.083
2021-03-04,88,1.093
2021-03-04,89,1.096
2021-03-04,90,1.1
2021-03-04,91,1.095
2021-03-04,92,1.096
2021-03-04,93,1.085
2021-03-04,94,1.091
2021-03-04,95,1.101
2021-03-04,96,1.109
2021-03-04,97,1.094
2021-03-04,98,1.112
2021-03-04,99,1.1
2021-03-04,100,1.09
2021-03-04,101,1.096
2021-03-04,102,1.088
2021-03-04,103,1.094
2021-03-04,104,1.102
2021-03-04,105,1.103
2021-03-04,106,1.102
2021-03-04,107,1.099
2021-03-04,108,1.101
2021-03-04,109,1.103
2021-03-04,110,1.098
2021-03-04,111,1.094
2021-03-04,112,1.104
2021-03-04,113,1.083
2021-03-04,114,1.087
2021-03-04,115,1.092
2021-03-04,116,1.11
2021-03-04,117,1.095
2021-03-04,118,1.091
2021-03-04,119,1.093
2021-03-04,120,1.101
2021-03-04,121,1.097
2021-03-04,122,1.092
2021-03-04,123,1.084
2021-03-04,124,1.104
2021-03-04,125,1.109
2021-03-04,126,1.091
2021-03-04,127,1.093
2021-03-04,128,1.092
2021-03-04,129,1.099
2021-03-04,130,1.106
2021-03-04,131,1.112
2021-03-04,132,1.102
2021-03-04,133,1.108
2021-03-04,134,1.103
2021-03-04,135,1.1
2021-03-04,136,1.104
2021-03-04,137,1.09
2021-03-04,138,1.102
2021-03-04,139,1.095
2021-03-04,140,1.094
2021-03-04,141,1.109
2021-03-04,142,1.106
2021-03-04,143,1.102
2021-03-04,144,1.113
2021-03-04,145,1.113
2021-03-04,146,1.104
2021-03-04,147,1.103
2021-03-04,148,1.095
2021-03-04,149,1.1
2021-03-04,150,1.091
2021-03-04,151,1.091
2021-03-04,152,1.094
2021-03-04,153,1.095
2021-03-04,154,1.101
2021-03-04,155,1.108
2021-03-04,156,1.109
2021-03-04,157,1.106
2021-03-04,158,1.107
2021-03-04,159,1.09
2021-03-04,160,1.093
2021-03-04,161,1.099
2021-03-04,162,1.103
2021-03-04,163,1.101
2021-03-04,164,1.096
2021-03-04,165,1.092
2021-03-04,166,1.1
2021-03-04,167,1.107
2021-03-04,168,1.105
2021-03-04,169,1.097
2021-03-04,170,1.109
2021-03-04,171,1.105
2021-03-04,172,1.089
2021-03-04,173,1.099
2021-03-04,174,1.096
2021-03-04,175,1.09
2021-03-04,176,1.095
2021-03-04,177,1.103
2021-03-04,178,1.094
2021-03-04,179,1.096
2021-03-04,180,1.106
2021-03-04,181,1.108
2021-03-04,182,1.088
2021-03-04,183,1.097
2021-03-04,184,1.093
2021-03-04,185,1.093
2021-03-04,186,1.079
2021-03-04,187,1.084
2021-03-04,188,1.109
2021-03-04,189,1.089
2021-03-04,190,1.097
2021-03-04,191,1.102
2021-03-04,192,1.105
2021-03-04,193,1.094
2021-03-04,194,1.104
2021-03-04,195,1.107
2021-03-04,196,1.106
2021-03-04,197,1.082
2021-03-04,198,1.084
2021-03-04,199,1.09
2021-03-04,200,1.093
2021-03-04,201,1.09
