beaker_tare_set,beaker_number,beaker_empty_mass
2021-01-15,1,49.269
2021-01-15,2,50.756
2021-01-15,3,50.34
2021-01-15,4,50.964
2021-01-15,5,51.276
2021-01-15,6,49.135
2021-01-15,7,48.684
2021-01-15,8,50.681
2021-01-15,9,50.468
2021-01-15,10,49.654
2021-01-15,11,49.233
2021-01-15,12,50.414
2021-01-15,13,48.956
2021-01-15,14,49.66
2021-01-15,15,49.112
2021-01-15,16,48.846
2021-01-15,17,50.841
2021-01-15,18,48.232
2021-01-15,19,49.209
2021-01-15,20,50.93
2021-01-15,21,50.017
2021-01-15,22,49.477
2021-01-15,23,48.69
2021-01-15,24,49.168
2021-01-15,25,49.348
2021-01-15,26,47.988
2021-01-15,27,51.271
2021-01-15,28,50.593
2021-01-15,29,49.465
2021-01-15,30,50.41
2021-01-15,31,49.501
2021-01-15,32,51.872
2021-01-15,33,50.552
2021-01-15,34,49.763
2021-01-15,35,48.2
2021-01-15,36,49.769
2021-01-15,37,50.126
2021-01-15,38,47.747
2021-01-15,39,49.297
2021-01-15,40,48.246
2021-01-15,41,52.317
2021-01-15,42,50.066
2021-01-15,43,49.297
2021-01-15,44,51.28
2021-01-15,45,49.816
2021-01-15,46,51.49
2021-01-15,47,51.11
2021-01-15,48,48.847
2021-01-15,49,48.876
2021-01-15,50,50.604
2021-01-15,51,50.109
2021-01-15,52,50.216
2021-01-15,53,50.257
2021-01-15,54,50.034
2021-01-15,55,49.558
2021-01-15,56,49.287
2021-01-15,57,49.232
2021-01-15,58,48.419
2021-01-15,59,49.3
2021-01-15,60,48.33
2021-01-15,61,49.226
2021-01-15,62,48.582
2021-01-15,63,50.192
2021-01-15,64,48.965
2021-01-15,65,49.19
2021-01-15,66,49.459
2021-01-15,67,49.945
2021-01-15,68,49.482
2021-01-15,69,48.865
2021-01-15,70,49.337
2021-01-15,71,50.679
2021-01-15,72,49.862
2021-01-15,73,49.222
2021-01-15,74,49.862
2021-01-15,75,50.436
2021-01-15,76,50.638
2021-01-15,77,48.718
2021-01-15,78,49.278
2021-01-15,79,50.652
2021-01-15,80,50.546
2021-01-15,81,49.169
2021-01-15,82,49.721
2021-01-15,83,49.073
2021-01-15,84,49.099
2021-01-15,85,48.463
2021-01-15,86,49.491
2021-01-15,87,50.248
2021-01-15,88,49.407
2021-01-15,89,49.513
2021-01-15,90,50.158
2021-01-15,91,49.186
2021-01-15,92,49.301
2021-01-15,93,49.701
2021-01-15,94,49.025
2021-01-15,95,49.965
2021-01-15,96,50.074
2021-01-15,97,62.245
2021-01-15,98,68.882
2021-01-15,99,65.982
2021-01-15,100,67.519
2021-01-15,101,49.284
2021-01-15,102,70.897
2021-01-15,103,69.571
2021-01-15,104,107.077
